CustomerID,State,Recency,Frequency,Monetary,ViewCount,CartCount,PurchaseCount,RFM_Segment,Churned,ChurnProbability,ChurnRisk,TopCategory,PrefPayment
1,Bihar,5,6,293673,6,2,2,Champions,0,0.0,,Grocery,UPI
2,Kerala,25,6,175899,3,2,3,Champions,0,0.02,Low Risk,Mobiles,NetBanking
3,Telangana,62,4,189297,2,6,4,At Risk,0,0.02,Low Risk,Mobiles,COD
4,Uttar Pradesh,281,2,119091,5,3,6,Lost,1,0.99,High Risk,Home,COD
5,Goa,141,7,201634,2,2,1,Lost,1,0.97,High Risk,Fashion,UPI
6,Goa,24,6,217406,2,2,6,Champions,0,0.02,Low Risk,Fashion,COD
7,Uttarakhand,93,5,168316,2,2,4,At Risk,1,0.96,High Risk,Books,COD
8,Chhattisgarh,4,6,133597,1,5,4,Champions,0,0.0,,Fashion,UPI
9,Maharashtra,242,3,104897,5,4,3,Lost,1,0.99,High Risk,Mobiles,NetBanking
10,Odisha,33,8,367134,6,2,2,Loyal Customers,0,0.0,,Sports,NetBanking
11,Haryana,192,2,38306,2,3,4,Lost,1,1.0,High Risk,Sports,NetBanking
12,Andhra Pradesh,45,5,128104,2,3,5,Loyal Customers,0,0.02,Low Risk,Electronics,NetBanking
13,Rajasthan,137,5,260138,4,2,1,Lost,1,0.99,High Risk,Home,NetBanking
14,Karnataka,63,5,95557,3,4,5,At Risk,0,0.03,Low Risk,Fashion,COD
15,Tamil Nadu,22,7,148003,7,3,1,Champions,0,0.0,,Electronics,UPI
16,Tripura,24,12,491434,2,4,2,Champions,0,0.0,,Grocery,NetBanking
17,Gujarat,110,6,242027,3,4,5,At Risk,1,1.0,High Risk,Books,NetBanking
18,West Bengal,1,5,243920,1,3,3,Champions,0,0.01,Low Risk,Books,COD
19,Sikkim,148,4,196769,3,4,6,Lost,1,0.98,High Risk,Home,COD
20,Goa,121,6,169973,1,1,3,Lost,1,0.96,High Risk,Fashion,COD
21,Telangana,243,4,156096,2,4,4,Lost,1,1.0,High Risk,Sports,NetBanking
22,Maharashtra,200,8,257542,0,9,3,Lost,1,1.0,High Risk,Books,COD
23,Madhya Pradesh,268,4,55560,4,1,4,Lost,1,1.0,High Risk,Books,NetBanking
24,West Bengal,64,5,225893,2,2,2,At Risk,0,0.01,Low Risk,Grocery,COD
25,Bihar,33,6,251348,0,2,3,Loyal Customers,0,0.04,Low Risk,Home,UPI
26,Haryana,30,6,267228,8,4,1,Loyal Customers,0,0.0,,Home,COD
27,Andhra Pradesh,22,11,488101,6,5,1,Champions,0,0.02,Low Risk,Electronics,COD
28,Maharashtra,97,3,144932,1,4,2,At Risk,1,0.98,High Risk,Mobiles,Card
29,Gujarat,1,10,473622,3,0,2,Champions,0,0.01,Low Risk,Books,NetBanking
30,Haryana,327,3,28088,2,2,4,Lost,1,0.99,High Risk,Books,UPI
31,Karnataka,149,9,277616,2,9,2,Lost,1,0.98,High Risk,Books,NetBanking
32,Uttar Pradesh,10,5,230642,2,4,3,Champions,0,0.01,Low Risk,Grocery,UPI
33,Punjab,60,5,132067,4,4,4,At Risk,0,0.0,,Home,UPI
34,Odisha,3,6,295608,4,5,4,Champions,0,0.0,,Grocery,UPI
35,Assam,196,4,135959,3,3,1,Lost,1,0.99,High Risk,Home,UPI
36,Bihar,249,5,237805,6,4,4,Lost,1,0.99,High Risk,Books,UPI
37,Uttar Pradesh,99,7,384127,1,3,4,At Risk,1,0.99,High Risk,Books,Card
