AddToCart,Purchase,View,Overall_CR,Month_str
77,62,61,101.64,2023-12
61,70,78,89.74,2024-01
57,71,70,101.43,2024-02
78,83,74,112.16,2024-03
63,60,55,109.09,2024-04
67,71,74,95.95,2024-05
68,72,59,122.03,2024-06
78,78,70,111.43,2024-07
70,67,68,98.53,2024-08
73,83,63,131.75,2024-09
81,62,74,83.78,2024-10
69,77,66,116.67,2024-11
66,76,75,101.33,2024-12
57,56,66,84.85,2025-01
65,68,73,93.15,2025-02
73,65,71,91.55,2025-03
71,67,67,100.0,2025-04
52,88,67,131.34,2025-05
72,67,76,88.16,2025-06
57,60,68,88.24,2025-07
80,79,79,100.0,2025-08
61,69,63,109.52,2025-09
59,68,76,89.47,2025-10
77,66,77,85.71,2025-11
7,5,1,500.0,2025-12
