State,TotalOrders,ReturnCount,ReturnRate%
Goa,76,11.0,14.47
Mizoram,152,20.0,13.16
Meghalaya,87,11.0,12.64
Jharkhand,66,8.0,12.12
Kerala,107,12.0,11.21
Karnataka,92,10.0,10.87
Haryana,128,13.0,10.16
Chhattisgarh,140,14.0,10.0
Andhra Pradesh,125,12.0,9.6
Uttarakhand,126,12.0,9.52
Nagaland,73,6.0,8.22
Assam,111,9.0,8.11
Punjab,126,10.0,7.94
Gujarat,129,10.0,7.75
Maharashtra,94,7.0,7.45
Rajasthan,109,8.0,7.34
Tripura,98,7.0,7.14
Telangana,195,13.0,6.67
Manipur,97,6.0,6.19
Arunachal Pradesh,115,7.0,6.09
Madhya Pradesh,85,5.0,5.88
Sikkim,108,6.0,5.56
West Bengal,133,7.0,5.26
Bihar,76,4.0,5.26
Odisha,100,5.0,5.0
Himachal Pradesh,66,3.0,4.55
Tamil Nadu,95,4.0,4.21
Uttar Pradesh,91,0.0,0.0
