OrderID,Reason,CustomerID,OrderDate,PaymentMethod,ProductID,Quantity,UnitPrice,ProductName,Category,Cost,State,ReturnRevenue,ReturnMonth
7916,Size Issue,372,2024-12-10,UPI,128,4,7232,Velit Pro,Fashion,8307,Mizoram,28928,2024-12
7730,Wrong Product,299,2024-01-30,UPI,208,1,21082,Possimus Ultra,Sports,17206,Assam,21082,2024-01
7299,Wrong Product,436,2025-01-10,UPI,201,2,24323,In Max,Fashion,6096,Rajasthan,48646,2025-01
6821,Wrong Product,209,2024-07-22,Card,165,4,29252,Saepe Max,Books,17904,Kerala,117008,2024-07
5284,Size Issue,283,2024-07-22,Card,169,3,20119,Quisquam Plus,Grocery,10803,Sikkim,60357,2024-07
7836,Damaged,447,2025-02-28,NetBanking,120,1,22625,Nam Max,Sports,15657,Assam,22625,2025-02
6886,Not as Described,335,2024-05-10,UPI,247,4,4371,Mollitia Ultra,Sports,19166,Haryana,17484,2024-05
7365,Wrong Product,255,2024-04-21,COD,242,2,5527,Eligendi ,Books,10351,Manipur,11054,2024-04
5331,Not as Described,262,2024-10-27,Card,279,2,11105,Itaque Ultra,Fashion,738,Haryana,22210,2024-10
7753,Not as Described,462,2023-12-26,NetBanking,178,3,29387,Dolor Max,Home,5225,Andhra Pradesh,88161,2023-12
7269,Wrong Product,380,2025-02-11,NetBanking,204,1,7923,Reiciendis Max,Sports,15626,Assam,7923,2025-02
6099,Wrong Product,174,2025-10-07,COD,161,3,13751,Aut Max,Fashion,13775,Meghalaya,41253,2025-10
5702,Damaged,56,2024-11-01,UPI,233,4,14291,Veniam Max,Books,11045,Telangana,57164,2024-11
7528,Size Issue,418,2025-04-06,UPI,284,1,7439,Unde Ultra,Electronics,4734,Telangana,7439,2025-04
7701,Not as Described,143,2025-01-02,Card,196,4,442,Aliquid Plus,Grocery,2247,Punjab,1768,2025-01
5481,Wrong Product,299,2025-11-23,UPI,274,1,7808,Eius Max,Sports,14074,Assam,7808,2025-11
7906,Damaged,467,2024-05-26,NetBanking,174,4,25695,Rerum Max,Books,15430,Kerala,102780,2024-05
7453,Damaged,421,2025-11-09,NetBanking,205,2,28511,Quibusdam Plus,Fashion,3685,West Bengal,57022,2025-11
5965,Size Issue,65,2025-06-16,Card,178,2,7486,Dolor Max,Home,5225,Bihar,14972,2025-06
7037,Size Issue,233,2024-11-18,NetBanking,213,2,12922,Harum Pro,Books,6506,Madhya Pradesh,25844,2024-11
6251,Wrong Product,362,2024-08-29,COD,251,3,26235,Dolor Plus,Electronics,13792,Arunachal Pradesh,78705,2024-08
5561,Not as Described,10,2024-10-28,UPI,139,1,9341,Totam Pro,Mobiles,3949,Odisha,9341,2024-10
5408,Damaged,50,2024-12-18,NetBanking,248,4,17072,Dolorem Max,Grocery,3629,Arunachal Pradesh,68288,2024-12
5025,Wrong Product,294,2025-09-01,NetBanking,135,3,2902,Dolore ,Electronics,9417,Odisha,8706,2025-09
6979,Not as Described,188,2024-06-25,COD,136,2,19710,Repellat Max,Home,993,Telangana,39420,2024-06
7270,Damaged,403,2025-03-19,UPI,156,1,26849,Iste Pro,Electronics,8211,Chhattisgarh,26849,2025-03
5564,Not as Described,151,2025-05-10,COD,183,4,19025,Tenetur ,Electronics,12978,Nagaland,76100,2025-05
6286,Damaged,66,2024-12-12,UPI,107,2,23641,Nulla Plus,Mobiles,8599,Kerala,47282,2024-12
7200,Size Issue,353,2024-04-08,NetBanking,220,3,2316,Asperiores Max,Electronics,1070,Mizoram,6948,2024-04
5028,Damaged,197,2024-07-22,COD,116,2,13264,Maxime ,Home,18055,Goa,26528,2024-07
6117,Not as Described,262,2024-04-20,Card,198,4,19142,A Pro,Mobiles,7488,Haryana,76568,2024-04
6950,Size Issue,392,2025-10-12,COD,202,4,25982,Facilis ,Mobiles,11421,Jharkhand,103928,2025-10
5761,Wrong Product,59,2024-02-28,NetBanking,169,1,6359,Quisquam Plus,Grocery,10803,Chhattisgarh,6359,2024-02
5900,Size Issue,21,2024-10-17,NetBanking,148,2,6231,Iste Ultra,Grocery,19766,Telangana,12462,2024-10
7884,Size Issue,165,2023-12-06,Card,200,1,10914,Corrupti Pro,Fashion,4867,Punjab,10914,2023-12
7440,Wrong Product,450,2023-12-03,COD,137,3,17275,Harum Max,Books,2084,Tamil Nadu,51825,2023-12
7863,Not as Described,474,2024-02-07,COD,170,4,22823,Eveniet Plus,Sports,16011,Punjab,91292,2024-02
6385,Not as Described,139,2025-05-04,UPI,188,2,9509,Quidem Max,Fashion,13309,Sikkim,19018,2025-05
5326,Wrong Product,480,2024-07-04,COD,189,1,7921,Autem Max,Fashion,18867,Tamil Nadu,7921,2024-07
5242,Wrong Product,264,2024-10-25,NetBanking,126,2,906,A Plus,Home,19239,Andhra Pradesh,1812,2024-10
5794,Size Issue,223,2025-11-24,UPI,235,2,8386,Veniam Plus,Home,5837,Karnataka,16772,2025-11
5922,Not as Described,359,2024-05-01,UPI,182,3,18452,Nisi Plus,Fashion,17852,Haryana,55356,2024-05
5716,Not as Described,154,2025-10-08,UPI,219,1,20315,Distinctio ,Fashion,12259,Mizoram,20315,2025-10
6290,Damaged,460,2025-07-30,NetBanking,188,4,27346,Quidem Max,Fashion,13309,Sikkim,109384,2025-07
7750,Damaged,13,2025-02-10,COD,138,1,26243,Neque ,Mobiles,8088,Rajasthan,26243,2025-02
5852,Not as Described,46,2025-06-09,COD,253,3,4185,Repudiandae Ultra,Sports,15530,Himachal Pradesh,12555,2025-06
5898,Not as Described,230,2023-12-08,UPI,101,1,10085,Suscipit ,Home,6254,Madhya Pradesh,10085,2023-12
7698,Size Issue,488,2025-07-15,NetBanking,168,3,2007,Maiores ,Books,18990,Tripura,6021,2025-07
6483,Not as Described,485,2025-05-09,UPI,169,4,28887,Quisquam Plus,Grocery,10803,Goa,115548,2025-05
5111,Not as Described,372,2025-08-16,UPI,279,2,21491,Itaque Ultra,Fashion,738,Mizoram,42982,2025-08
7799,Damaged,293,2024-03-25,Card,295,1,8240,Esse Max,Sports,4773,Kerala,8240,2024-03
5493,Not as Described,309,2025-06-24,UPI,167,4,26788,Explicabo Plus,Books,14995,Mizoram,107152,2025-06
5991,Damaged,438,2025-05-21,UPI,176,4,22805,Placeat Plus,Books,5647,Tripura,91220,2025-05
5507,Wrong Product,401,2023-12-17,NetBanking,142,4,1785,Possimus Plus,Fashion,5870,Telangana,7140,2023-12
5625,Not as Described,274,2025-07-07,UPI,256,4,2788,Veritatis Max,Books,17446,Nagaland,11152,2025-07
